[Mon Dec 27 12:18:33.931503 2021] [php:error] [pid 56377] [client 127.0.0.1:41676] PHP Fatal error:  Trait "App\\Models\\HeritageFinancial\\SoftDeletes" not found in /var/www/tpuserportal-dev/app/Models/HeritageFinancial/LoansDocuments.php on line 8, referer: http://tpuserportal-dev/heritage_financial/loans/view_loan/fc69cede-7e7a-407f-a3d1-1e68b3961ef8
[Fri Jan 07 17:24:58.736239 2022] [php:error] [pid 165052] [client 127.0.0.1:53916] PHP Fatal error:  Trait "App\\Models\\HeritageFinancial\\SoftDeletes" not found in /var/www/tpuserportal-dev/app/Models/HeritageFinancial/Lenders.php on line 8
[Tue Jan 11 16:08:44.813960 2022] [php:error] [pid 398115] [client 127.0.0.1:58764] PHP Parse error:  Unclosed '{' on line 12 in /var/www/tpuserportal-dev/app/Helpers/Helper.php on line 276, referer: http://tpuserportal-dev/
[Tue Jan 11 16:08:47.135648 2022] [php:error] [pid 398112] [client 127.0.0.1:58768] PHP Parse error:  Unclosed '{' on line 12 in /var/www/tpuserportal-dev/app/Helpers/Helper.php on line 276, referer: http://tpuserportal-dev/
[Tue Jan 11 16:08:52.132899 2022] [php:error] [pid 379392] [client 127.0.0.1:58772] PHP Parse error:  Unclosed '{' on line 12 in /var/www/tpuserportal-dev/app/Helpers/Helper.php on line 276, referer: http://tpuserportal-dev/
[Mon Feb 14 10:42:43.434720 2022] [php:error] [pid 378540] [client 127.0.0.1:50968] PHP Parse error:  Unclosed '{' on line 194 does not match ')' in /var/www/tpuserportal-dev/app/Helpers/Helper.php on line 196, referer: https://prod.lendingpad.com/
[Mon Feb 14 10:42:48.463763 2022] [php:error] [pid 376947] [client 127.0.0.1:50970] PHP Parse error:  Unclosed '{' on line 194 does not match ')' in /var/www/tpuserportal-dev/app/Helpers/Helper.php on line 196, referer: https://prod.lendingpad.com/
[Mon Feb 21 09:24:04.971023 2022] [php:error] [pid 711381] [client 127.0.0.1:57056] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 8192 bytes) in /var/www/tpuserportal-dev/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Model.php on line 522
[Mon Feb 21 09:24:04.978129 2022] [php:error] [pid 711381] [client 127.0.0.1:57056] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 8192 bytes) in /var/www/tpuserportal-dev/vendor/symfony/error-handler/Error/FatalError.php on line 76
[Mon Feb 21 09:27:19.182203 2022] [php:error] [pid 711378] [client 127.0.0.1:57074] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 8192 bytes) in /var/www/tpuserportal-dev/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Model.php on line 522
[Mon Feb 21 09:27:19.189253 2022] [php:error] [pid 711378] [client 127.0.0.1:57074] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 32768 bytes) in /var/www/tpuserportal-dev/vendor/symfony/error-handler/Error/FatalError.php on line 1
[Mon Feb 21 09:29:25.744764 2022] [php:error] [pid 711382] [client 127.0.0.1:57096] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 8192 bytes) in /var/www/tpuserportal-dev/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Model.php on line 522
[Mon Feb 21 09:29:25.750505 2022] [php:error] [pid 711382] [client 127.0.0.1:57096] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 32768 bytes) in /var/www/tpuserportal-dev/vendor/symfony/error-handler/Error/FatalError.php on line 1
[Mon Feb 21 09:48:22.301594 2022] [php:error] [pid 711379] [client 127.0.0.1:57202] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 8192 bytes) in /var/www/tpuserportal-dev/vendor/laravel/framework/src/Illuminate/Events/Dispatcher.php on line 248
[Mon Feb 21 09:48:22.309360 2022] [php:error] [pid 711379] [client 127.0.0.1:57202] PHP Fatal error:  Allowed memory size of 2147483648 bytes exhausted (tried to allocate 32768 bytes) in /var/www/tpuserportal-dev/vendor/symfony/error-handler/Error/FatalError.php on line 1
